COHORT,OPEID,NAME,TYPE,CIPCODE,CIPDESC,CREDLEV,CREDDESC,COUNT,DEBTMEDIAN,DEBTMEAN,IPEDSCOUNT,FIELD
2016_2017,3754,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,PUBLIC,100,"Agriculture, General.",5,Master's Degree,12,PrivacySuppressed,33388,47,Agriculture
2016_2017,3800,WASHINGTON STATE UNIVERSITY,PUBLIC,100,"Agriculture, General.",5,Master's Degree,17,PrivacySuppressed,31207,31,Agriculture
2016_2017,3606,SAM HOUSTON STATE UNIVERSITY,PUBLIC,100,"Agriculture, General.",5,Master's Degree,18,PrivacySuppressed,27434,38,Agriculture
2016_2017,1350,COLORADO STATE UNIVERSITY,PUBLIC,100,"Agriculture, General.",5,Master's Degree,27,19709,25918,65,Agriculture
2016_2017,1143,CALIFORNIA POLYTECHNIC STATE UNIVERSITY,PUBLIC,100,"Agriculture, General.",5,Master's Degree,15,PrivacySuppressed,24966,35,Agriculture
2016_2017,3639,TEXAS A&M UNIVERSITY - KINGSVILLE,PUBLIC,100,"Agriculture, General.",5,Master's Degree,12,PrivacySuppressed,20552,34,Agriculture
2016_2017,3565,TEXAS A&M UNIVERSITY - COMMERCE,PUBLIC,100,"Agriculture, General.",5,Master's Degree,12,PrivacySuppressed,19031,33,Agriculture
2016_2017,1081,ARIZONA STATE UNIVERSITY,PUBLIC,101,Agricultural Business and Management.,5,Master's Degree,15,PrivacySuppressed,51189,30,Agriculture
2016_2017,1090,ARKANSAS STATE UNIVERSITY,PUBLIC,101,Agricultural Business and Management.,5,Master's Degree,23,40998,39993,43,Agriculture
2016_2017,3632,TEXAS A&M UNIVERSITY,PUBLIC,101,Agricultural Business and Management.,5,Master's Degree,33,20500,27180,120,Agriculture
2016_2017,1928,KANSAS STATE UNIVERSITY,PUBLIC,101,Agricultural Business and Management.,5,Master's Degree,16,PrivacySuppressed,26681,62,Agriculture
2016_2017,3644,TEXAS TECH UNIVERSITY,PUBLIC,101,Agricultural Business and Management.,5,Master's Degree,10,PrivacySuppressed,25225,36,Agriculture
2016_2017,41391,UNIVERSITA DEGLI STUDI DI SCIENZE GASTRONOMICHE,FOREIGN SCHOOLS,101,Agricultural Business and Management.,5,Master's Degree,PrivacySuppressed,PrivacySuppressed,21226,NULL,Agriculture
2016_2017,1313,"UNIVERSITY OF CALIFORNIA, DAVIS",PUBLIC,103,Agricultural Production Operations.,5,Master's Degree,PrivacySuppressed,PrivacySuppressed,33919,0,Agriculture
2016_2017,3687,GREEN MOUNTAIN COLLEGE,PRIVATE,103,Agricultural Production Operations.,5,Master's Degree,24,28260,26068,46,Agriculture
2016_2017,3244,CHATHAM UNIVERSITY,PRIVATE,107,International Agriculture.,5,Master's Degree,PrivacySuppressed,PrivacySuppressed,44124,18,Agriculture
2016_2017,1313,"UNIVERSITY OF CALIFORNIA, DAVIS",PUBLIC,107,International Agriculture.,5,Master's Degree,13,PrivacySuppressed,22283,44,Agriculture
2016_2017,3170,OKLAHOMA STATE UNIVERSITY,PUBLIC,107,International Agriculture.,5,Master's Degree,13,PrivacySuppressed,18950,48,Agriculture
2016_2017,1598,UNIVERSITY OF GEORGIA,PUBLIC,108,Agricultural Public Services.,5,Master's Degree,14,PrivacySuppressed,30346,31,Agriculture
2016_2017,1869,IOWA STATE UNIVERSITY OF SCIENCE & TECHNOLOGY,PUBLIC,108,Agricultural Public Services.,5,Master's Degree,PrivacySuppressed,PrivacySuppressed,28073,NULL,Agriculture
2016_2017,3631,TARLETON STATE UNIVERSITY,PUBLIC,108,Agricultural Public Services.,5,Master's Degree,39,21575,26701,53,Agriculture
2016_2017,3632,TEXAS A&M UNIVERSITY,PUBLIC,109,Animal Sciences.,5,Master's Degree,17,PrivacySuppressed,35937,71,Agriculture
2016_2017,1009,AUBURN UNIVERSITY,PUBLIC,109,Animal Sciences.,5,Master's Degree,14,PrivacySuppressed,34435,32,Agriculture
2016_2017,2972,NORTH CAROLINA STATE UNIVERSITY,PUBLIC,109,Animal Sciences.,5,Master's Degree,15,PrivacySuppressed,30544,57,Agriculture
2016_2017,2516,UNIVERSITY OF MISSOURI - COLUMBIA,PUBLIC,109,Animal Sciences.,5,Master's Degree,10,PrivacySuppressed,29069,29,Agriculture
2016_2017,1869,IOWA STATE UNIVERSITY OF SCIENCE & TECHNOLOGY,PUBLIC,109,Animal Sciences.,5,Master's Degree,PrivacySuppressed,PrivacySuppressed,27981,19,Agriculture
2016_2017,1598,UNIVERSITY OF GEORGIA,PUBLIC,109,Animal Sciences.,5,Master's Degree,11,PrivacySuppressed,26103,27,Agriculture
2016_2017,3827,WEST VIRGINIA UNIVERSITY,PUBLIC,109,Animal Sciences.,5,Master's Degree,15,PrivacySuppressed,22866,27,Agriculture
2016_2017,1002,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,PUBLIC,110,Food Science and Technology.,5,Master's Degree,15,PrivacySuppressed,61527,19,Agriculture
2016_2017,2290,MICHIGAN STATE UNIVERSITY,PUBLIC,110,Food Science and Technology.,5,Master's Degree,22,32702,49260,113,Agriculture
2016_2017,1535,UNIVERSITY OF FLORIDA,PUBLIC,110,Food Science and Technology.,5,Master's Degree,11,PrivacySuppressed,41539,42,Agriculture
2016_2017,2053,UNIVERSITY OF MAINE,PUBLIC,110,Food Science and Technology.,5,Master's Degree,14,PrivacySuppressed,34831,23,Agriculture
2016_2017,1313,"UNIVERSITY OF CALIFORNIA, DAVIS",PUBLIC,110,Food Science and Technology.,5,Master's Degree,13,PrivacySuppressed,30278,41,Agriculture
2016_2017,3915,UNIVERSITY OF WISCONSIN - STOUT,PUBLIC,110,Food Science and Technology.,5,Master's Degree,PrivacySuppressed,PrivacySuppressed,27415,NULL,Agriculture
2016_2017,1928,KANSAS STATE UNIVERSITY,PUBLIC,110,Food Science and Technology.,5,Master's Degree,20,22392,27212,104,Agriculture
2016_2017,1535,UNIVERSITY OF FLORIDA,PUBLIC,111,Plant Sciences.,6,Doctoral Degree,12,PrivacySuppressed,42843,41,Agriculture
2016_2017,1350,COLORADO STATE UNIVERSITY,PUBLIC,111,Plant Sciences.,5,Master's Degree,10,PrivacySuppressed,42063,26,Agriculture
2016_2017,1869,IOWA STATE UNIVERSITY OF SCIENCE & TECHNOLOGY,PUBLIC,111,Plant Sciences.,5,Master's Degree,28,17191,24481,86,Agriculture
2016_2017,1598,UNIVERSITY OF GEORGIA,PUBLIC,111,Plant Sciences.,5,Master's Degree,12,PrivacySuppressed,20785,43,Agriculture
2016_2017,1535,UNIVERSITY OF FLORIDA,PUBLIC,112,Soil Sciences.,5,Master's Degree,12,PrivacySuppressed,49678,46,Agriculture
2016_2017,1977,MURRAY STATE UNIVERSITY,PUBLIC,199,"Agriculture, Agriculture Operations, and Related Sciences, Other.",5,Master's Degree,10,PrivacySuppressed,29917,37,Agriculture
2016_2017,3010,ANTIOCH UNIVERSITY,PRIVATE,301,Natural Resources Conservation and Research.,6,Doctoral Degree,12,PrivacySuppressed,172433,16,Natural Resources
2016_2017,1305,STANFORD UNIVERSITY,PRIVATE,301,Natural Resources Conservation and Research.,5,Master's Degree,12,PrivacySuppressed,98164,36,Natural Resources
2016_2017,3691,MIDDLEBURY COLLEGE,PRIVATE,301,Natural Resources Conservation and Research.,5,Master's Degree,29,84164,75736,57,Natural Resources
2016_2017,3749,GEORGE MASON UNIVERSITY,PUBLIC,301,Natural Resources Conservation and Research.,6,Doctoral Degree,15,PrivacySuppressed,71841,32,Natural Resources
2016_2017,1312,"UNIVERSITY OF CALIFORNIA, BERKELEY",PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,14,PrivacySuppressed,66691,79,Natural Resources
2016_2017,3010,ANTIOCH UNIVERSITY,PRIVATE,301,Natural Resources Conservation and Research.,5,Master's Degree,53,56971,63962,90,Natural Resources
2016_2017,2920,DUKE UNIVERSITY,PRIVATE,301,Natural Resources Conservation and Research.,5,Master's Degree,120,57827,61578,261,Natural Resources
2016_2017,3256,DREXEL UNIVERSITY,PRIVATE,301,Natural Resources Conservation and Research.,5,Master's Degree,10,PrivacySuppressed,57929,21,Natural Resources
2016_2017,4508,UNIVERSITY OF COLORADO DENVER,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,16,PrivacySuppressed,54555,38,Natural Resources
2016_2017,2521,WEBSTER UNIVERSITY,PRIVATE,301,Natural Resources Conservation and Research.,5,Master's Degree,19,PrivacySuppressed,53556,103,Natural Resources
2016_2017,3378,UNIVERSITY OF PENNSYLVANIA,PRIVATE,301,Natural Resources Conservation and Research.,5,Master's Degree,11,PrivacySuppressed,53290,31,Natural Resources
2016_2017,2707,COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,PRIVATE,301,Natural Resources Conservation and Research.,5,Master's Degree,65,46500,53043,176,Natural Resources
2016_2017,2325,UNIVERSITY OF MICHIGAN - ANN ARBOR,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,90,40456,52911,263,Natural Resources
2016_2017,4586,PURDUE UNIVERSITY GLOBAL,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,PrivacySuppressed,58072,51607,36,Natural Resources
2016_2017,1809,INDIANA UNIVERSITY - BLOOMINGTON,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,55,48200,51346,114,Natural Resources
2016_2017,1434,AMERICAN UNIVERSITY (THE),PRIVATE,301,Natural Resources Conservation and Research.,5,Master's Degree,14,PrivacySuppressed,50912,34,Natural Resources
2016_2017,3800,WASHINGTON STATE UNIVERSITY,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,11,PrivacySuppressed,49388,31,Natural Resources
2016_2017,1426,YALE UNIVERSITY,PRIVATE,301,Natural Resources Conservation and Research.,5,Master's Degree,PrivacySuppressed,41209,48750,55,Natural Resources
2016_2017,3932,UNIVERSITY OF WYOMING,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,14,PrivacySuppressed,47109,40,Natural Resources
2016_2017,1081,ARIZONA STATE UNIVERSITY,PUBLIC,301,Natural Resources Conservation and Research.,5,Master's Degree,61,34318,46237,116,Natural Resources
